Date,Close,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
2014/01/02,244500,-4000,-1.61,7830,31.23,-,-,45691,5.35,600,0.25
2014/01/03,237000,-7500,-3.07,7830,30.27,-,-,45691,5.19,600,0.25
2014/01/06,234000,-3000,-1.27,7830,29.89,-,-,45691,5.12,600,0.26
2014/01/07,237500,3500,+1.50,7830,30.33,-,-,45691,5.20,600,0.25
2014/01/08,224000,-13500,-5.68,7830,28.61,-,-,45691,4.90,600,0.27
2014/01/09,221000,-3000,-1.34,7830,28.22,-,-,45691,4.84,600,0.27
2014/01/10,223000,2000,+0.90,7830,28.48,-,-,45691,4.88,600,0.27
2014/01/13,218000,-5000,-2.24,7830,27.84,-,-,45691,4.77,600,0.28
2014/01/14,219500,1500,+0.69,7830,28.03,-,-,45691,4.80,600,0.27
2014/01/15,223500,4000,+1.82,7830,28.54,-,-,45691,4.89,600,0.27
2014/01/16,228000,4500,+2.01,7830,29.12,-,-,45691,4.99,600,0.26
2014/01/17,217000,-11000,-4.82,7830,27.71,-,-,45691,4.75,600,0.28
2014/01/20,208000,-9000,-4.15,7830,26.56,-,-,45691,4.55,600,0.29
2014/01/21,210500,2500,+1.20,7830,26.88,-,-,45691,4.61,600,0.29
2014/01/22,216500,6000,+2.85,7830,27.65,-,-,45691,4.74,600,0.28
2014/01/23,213500,-3000,-1.39,7830,27.27,-,-,45691,4.67,600,0.28
2014/01/24,206500,-7000,-3.28,7830,26.37,-,-,45691,4.52,600,0.29
2014/01/27,196500,-10000,-4.84,7830,25.10,-,-,45691,4.30,600,0.31
2014/01/28,198500,2000,+1.02,7830,25.35,-,-,45691,4.34,600,0.30
2014/01/29,198500,0,0.00,7830,25.35,-,-,45691,4.34,600,0.30
2014/02/03,190000,-8500,-4.28,7830,24.27,-,-,45691,4.16,600,0.32
2014/02/04,190500,500,+0.26,7830,24.33,-,-,45691,4.17,600,0.31
2014/02/05,197000,6500,+3.41,7830,25.16,-,-,45691,4.31,600,0.30
2014/02/06,200000,3000,+1.52,7830,25.54,-,-,45691,4.38,600,0.30
2014/02/07,200000,0,0.00,7830,25.54,-,-,45691,4.38,600,0.30
2014/02/10,204000,4000,+2.00,7830,26.05,-,-,45691,4.46,600,0.29
2014/02/11,204000,0,0.00,7830,26.05,-,-,45691,4.46,600,0.29
2014/02/12,209000,5000,+2.45,7830,26.69,-,-,45691,4.57,600,0.29
2014/02/13,215000,6000,+2.87,7830,27.46,-,-,45691,4.71,600,0.28
2014/02/14,210500,-4500,-2.09,7830,26.88,-,-,45691,4.61,600,0.29
2014/02/17,212000,1500,+0.71,7830,27.08,-,-,45691,4.64,600,0.28
2014/02/18,209000,-3000,-1.42,7830,26.69,-,-,45691,4.57,600,0.29
2014/02/19,208500,-500,-0.24,7830,26.63,-,-,45691,4.56,600,0.29
2014/02/20,208000,-500,-0.24,7830,26.56,-,-,45691,4.55,600,0.29
2014/02/21,203000,-5000,-2.40,7830,25.93,-,-,45691,4.44,600,0.30
2014/02/24,188000,-15000,-7.39,7830,24.01,-,-,45691,4.11,600,0.32
2014/02/25,193500,5500,+2.93,7830,24.71,-,-,45691,4.23,600,0.31
2014/02/26,192500,-1000,-0.52,7830,24.58,-,-,45691,4.21,600,0.31
2014/02/27,196500,4000,+2.08,7830,25.10,-,-,45691,4.30,600,0.31
2014/02/28,191000,-5500,-2.80,7830,24.39,-,-,45691,4.18,600,0.31
2014/03/03,194000,3000,+1.57,7830,24.78,-,-,45691,4.25,600,0.31
2014/03/04,197000,3000,+1.55,7830,25.16,-,-,45691,4.31,600,0.30
2014/03/05,201000,4000,+2.03,7830,25.67,-,-,45691,4.40,600,0.30
2014/03/06,209500,8500,+4.23,7830,26.76,-,-,45691,4.59,600,0.29
2014/03/07,210500,1000,+0.48,7830,26.88,-,-,45691,4.61,600,0.29
2014/03/10,204500,-6000,-2.85,7830,26.12,-,-,45691,4.48,600,0.29
2014/03/11,203000,-1500,-0.73,7830,25.93,-,-,45691,4.44,600,0.30
2014/03/12,198000,-5000,-2.46,7830,25.29,-,-,45691,4.33,600,0.30
2014/03/13,215000,17000,+8.59,7830,27.46,-,-,45691,4.71,600,0.28
2014/03/14,215000,0,0.00,7830,27.46,-,-,45691,4.71,600,0.28
2014/03/17,222500,7500,+3.49,7830,28.42,-,-,45691,4.87,600,0.27
2014/03/18,221000,-1500,-0.67,7830,28.22,-,-,45691,4.84,600,0.27
2014/03/19,223000,2000,+0.90,7830,28.48,-,-,45691,4.88,600,0.27
2014/03/20,222000,-1000,-0.45,7830,28.35,-,-,45691,4.86,600,0.27
2014/03/21,223000,1000,+0.45,7830,28.48,-,-,45691,4.88,600,0.27
2014/03/24,227500,4500,+2.02,7830,29.05,-,-,45691,4.98,600,0.26
2014/03/25,222000,-5500,-2.42,7830,28.35,-,-,45691,4.86,600,0.27
2014/03/26,219000,-3000,-1.35,7830,27.97,-,-,45691,4.79,600,0.27
2014/03/27,222500,3500,+1.60,7830,28.42,-,-,45691,4.87,600,0.27
2014/03/28,220000,-2500,-1.12,7830,28.10,-,-,45691,4.81,600,0.27
2014/03/31,218000,-2000,-0.91,7830,27.84,-,-,45691,4.77,600,0.28
2014/04/01,219500,1500,+0.69,7830,28.03,-,-,45691,4.80,600,0.27
2014/04/02,227500,8000,+3.64,7830,29.05,-,-,45691,4.98,600,0.26
2014/04/03,224500,-3000,-1.32,7830,28.67,-,-,45691,4.91,600,0.27
2014/04/04,221000,-3500,-1.56,7830,28.22,-,-,45691,4.84,600,0.27
2014/04/07,210000,-11000,-4.98,7830,26.82,-,-,45691,4.60,600,0.29
2014/04/08,210000,0,0.00,7830,26.82,-,-,45691,4.60,600,0.29
2014/04/09,210500,500,+0.24,7830,26.88,-,-,45691,4.61,600,0.29
2014/04/10,213500,3000,+1.43,7830,27.27,-,-,45691,4.67,600,0.28
2014/04/11,206500,-7000,-3.28,7830,26.37,-,-,45691,4.52,600,0.29
2014/04/14,205500,-1000,-0.48,7830,26.25,-,-,45691,4.50,600,0.29
2014/04/15,205000,-500,-0.24,7830,26.18,-,-,45691,4.49,600,0.29
2014/04/16,212500,7500,+3.66,7830,27.14,-,-,45691,4.65,600,0.28
2014/04/17,207000,-5500,-2.59,7830,26.44,-,-,45691,4.53,600,0.29
2014/04/18,207000,0,0.00,7830,26.44,-,-,45691,4.53,600,0.29
2014/04/21,206500,-500,-0.24,7830,26.37,-,-,45691,4.52,600,0.29
2014/04/22,208000,1500,+0.73,7830,26.56,-,-,45691,4.55,600,0.29
2014/04/23,204000,-4000,-1.92,7830,26.05,-,-,45691,4.46,600,0.29
2014/04/24,206500,2500,+1.23,7830,26.37,-,-,45691,4.52,600,0.29
2014/04/25,203000,-3500,-1.69,7830,25.93,-,-,45691,4.44,600,0.30
2014/04/28,204000,1000,+0.49,7830,26.05,-,-,45691,4.46,600,0.29
2014/04/29,203500,-500,-0.25,7830,25.99,-,-,45691,4.45,600,0.29
2014/04/30,205000,1500,+0.74,7961,25.75,-,-,52076,3.94,600,0.29
2014/05/02,203000,-2000,-0.98,7961,25.50,-,-,52076,3.90,600,0.30
2014/05/07,191000,-12000,-5.91,7961,23.99,-,-,52076,3.67,600,0.31
2014/05/08,198000,7000,+3.66,7961,24.87,-,-,52076,3.80,600,0.30
2014/05/09,194500,-3500,-1.77,7961,24.43,-,-,52076,3.73,600,0.31
2014/05/12,198500,4000,+2.06,7961,24.93,-,-,52076,3.81,600,0.30
2014/05/13,198500,0,0.00,7961,24.93,-,-,52076,3.81,600,0.30
2014/05/14,197000,-1500,-0.76,7961,24.75,-,-,52076,3.78,600,0.30
2014/05/15,206000,9000,+4.57,7961,25.88,-,-,52076,3.96,600,0.29
